%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1494414953658439876,0,1494414953658439876,gps,0,0,47.3960380554,8.64799594879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953758412045,0,1494414953758412045,gps,0,0,47.3960380554,8.64799594879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953858463931,0,1494414953858463931,gps,0,0,47.3960380554,8.6479845047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414953958438228,0,1494414953958438228,gps,0,0,47.3960380554,8.6479845047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954058136447,0,1494414954058136447,gps,0,0,47.3960342407,8.64797592163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954158637691,0,1494414954158637691,gps,0,0,47.3960342407,8.64797592163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954258117104,0,1494414954258117104,gps,0,0,47.3960342407,8.64796924591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954358070323,0,1494414954358070323,gps,0,0,47.3960342407,8.64796924591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954458148332,0,1494414954458148332,gps,0,0,47.3960342407,8.64796352386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954558161134,0,1494414954558161134,gps,0,0,47.3960342407,8.64796352386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954658129114,0,1494414954658129114,gps,0,0,47.3960342407,8.64796066284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954758159855,0,1494414954758159855,gps,0,0,47.3960342407,8.64796066284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954858089616,0,1494414954858089616,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414954958113409,0,1494414954958113409,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955058210488,0,1494414955058210488,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955158569097,0,1494414955158569097,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955258135651,0,1494414955258135651,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955358097697,0,1494414955358097697,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
